ID	Name	GB_LIST	SPOT_ID
100009600_at	Zglp1	NM_001103168, XM_001475156, XM_001475715	
100009609_at	Vmn2r65	NM_001105180, XM_001472549, XM_001479094	
100012_at	Oog3	NM_201258	
100017_at	Ldlrap1	NM_145554	
100019_at	Mdn1	NM_001081392	
100033459_at	E430029J22Rik	NM_001162938, XR_035320, XR_035462	
100034251_at	Gm11428	NM_001081957	
100036521_at	Gm16039	XM_001474303, XM_001475330	
100037258_at	Dnajc3	NM_008929	
100037278_at	Fam129c	NM_001166213, XM_001478428, XM_001478599	
100038380_at	Gm10837	XM_001481061	
100038429_at	Gm10505	XM_001472841, XM_001478670, XM_001479286	
100038486_at	Gm10742	XM_001474096	
100038570_at	Gm11744	NM_001163318, XM_001476103, XM_001477353	
100038598_at	Gm10386	XM_001477259, XM_001478669	
100038600_at	Gm11529	XM_001475433	
100038618_at	Gm10847	XM_001479678, XM_001480848	
100038635_at	Gm10621	XM_001475386, XM_001476249	
100038680_at	Gm1971	XM_001472879	
100038683_at	Gm10775	XM_001473066, XM_001478312	
100038830_at	Gm1972	XM_001471766	
100038833_at	Gm12568	XM_001471943, XM_001471944	
100038854_at	BC117090	NM_001001332, XM_001471462	
100038859_at	Olfr55	NM_010998, XM_001471659	
100038860_at	Olfr239	NM_207175, XM_001471916	
100038862_at	Btnl1	NM_001111094, NM_201405, XM_001471910, XM_001471911	
100038868_at	Gm1976	XM_001471837	
100038887_at	NA		100038887_at
100038902_at	NA		100038902_at
100038914_at	Gm16387	NM_001024727, XM_001471509	
100038945_at	NA		100038945_at
100038947_at	LOC100038947	XM_001471956	
100038959_at	Gm1985	XM_001471980	
100038996_at	Gm16380	XM_001472003, XM_001479995	
100039026_at	Gm10031	XM_001472047	
100039062_at	Gm2027	XM_001472023, XM_001477296	
100039095_at	Gm2044	XM_001472250	
100039099_at	NA		100039099_at
100039137_at	Gm2060	XR_030663, XR_033098	
100039139_at	Ccdc152	NM_001166063, XM_001472338	
100039182_at	Gm16505	XM_001472218, XM_001472410	
100039199_at	Gm2095	XM_001472437	
100039211_at	Gm10649	NR_028579, XM_001472461	
100039214_at	Gm16374	XM_001472189, XM_001472208, XM_001472228, XM_001472260, XM_001472352, XM_001472369, XM_001472395	
100039220_at	Gm12751	XM_001472479	
100039225_at	Gm10322	XM_001472485	
100039226_at	Gm16368	XM_001472441, XM_001472447	
100039229_at	Gm10358	XM_001472515, XM_001472534, XM_001472559	
100039235_at	Gm16529	XM_001472504	
100039258_at	Gm10290	XM_001472531, XM_001472557, XM_001472580	
100039265_at	Gm12703	XM_001472567, XM_001478005	
100039281_at	Gm10250	XM_001472493, XM_001472511	
100039300_at	Gm16373	XM_001472631, XM_001476024	
100039303_at	Gm16514	XM_001472599	
100039316_at	Gm9843	XM_001472468	
100039343_at	Gm9797	XM_001472831, XM_001473641	
100039345_at	Gm2173	XM_001472530	
100039350_at	Gm16500	XM_001472737, XM_001478687	
100039359_at	Gm10399	XM_001472751	
100039375_at	Gm15470	XR_030737, XR_031416	
100039474_at	Gm15452	XM_001472867, XM_001472887	
100039478_at	Gm11810	XM_001472912	
100039489_at	Hmgn4	XM_001473104	
100039525_at	Gm9808	XM_001473056, XM_001478855	
100039528_at	1110002E22Rik	XM_001473061, XM_001478816	
100039532_at	Gm10029	XM_001472889, XM_001473099	
100039545_at	Gm15109	XR_031018	
100039590_at	Gm14378	XM_001473149	
100039599_at	NA		100039599_at
100039619_at	NA		100039619_at
100039624_at	Gm12166	NR_015372, XM_001473615	
100039649_at	NA		100039649_at
100039652_at	Gm2357	XR_031120	
100039660_at	Ect2l	XM_001473279	
100039672_at	Msmp	NM_001099314, XM_001473084, XM_001473471	
100039681_at	Zcwpw2	XM_001473321	
100039686_at	NA		100039686_at
100039716_at	Gm15131	XR_031183, XR_032440	
100039724_at	Gm16509	XM_001473385, XM_001479908	
100039739_at	A430060F13Rik	XM_001474282, XM_001477519	
100039740_at	Gm10260	XM_001473806, XM_001477196	
100039751_at	Gm16422	XR_031048	
100039757_at	Gm10153	XM_001473448, XM_001479783	
